filename,title,date,year,month,day
2004-07-30-BadeParadiesfüreinenEuro.txt,BadeParadiesfüreinenEuro.txt,2004-07-30,2004,07,30
2004-10-01-EindickfelligerOberpfälzerD.txt,EindickfelligerOberpfälzerD.txt,2004-10-01,2004,10,01
2005-03-09-EinMannfüralleStörfälle.txt,EinMannfüralleStörfälle.txt,2005-03-09,2005,03,09
2005-07-30-dieBonzenwollenzuvie.txt,dieBonzenwollenzuvie.txt,2005-07-30,2005,07,30
2005-11-30-HeinzRiesenhuber70Jahre.txt,HeinzRiesenhuber70Jahre.txt,2005-11-30,2005,11,30
2006-01-02-HanauerAtomfabrikgeschlossen.txt,HanauerAtomfabrikgeschlossen.txt,2006-01-02,2006,01,02
2006-01-12-MissionerfülltVONSTEFANDI.txt,MissionerfülltVONSTEFANDI.txt,2006-01-12,2006,01,12
2006-04-25-EsbegannmiteinemHüttendorf.txt,EsbegannmiteinemHüttendorf.txt,2006-04-25,2006,04,25
2006-04-26-RatloseBürgerimradioaktiven.txt,RatloseBürgerimradioaktiven.txt,2006-04-26,2006,04,26
2006-04-26-Tschernobylwoliegtdasei.txt,Tschernobylwoliegtdasei.txt,2006-04-26,2006,04,26
2006-06-27-KeinPlanabereineMengeSac.txt,KeinPlanabereineMengeSac.txt,2006-06-27,2006,06,27
2006-09-09-GlaubeHeimatFamilieVonM.txt,GlaubeHeimatFamilieVonM.txt,2006-09-09,2006,09,09
2006-10-17-AnwaltkritisiertLuftverkehrs.txt,AnwaltkritisiertLuftverkehrs.txt,2006-10-17,2006,10,17
2006-10-20-AufrufzumKampfgegendiedri.txt,AufrufzumKampfgegendiedri.txt,2006-10-20,2006,10,20
2006-11-27-WAAwiederaufbereitet.txt,WAAwiederaufbereitet.txt,2006-11-27,2006,11,27
2006-12-18-MitdenÜberfliegerninsStimm.txt,MitdenÜberfliegerninsStimm.txt,2006-12-18,2006,12,18
2007-04-03-EinKonservativerdendieVer.txt,EinKonservativerdendieVer.txt,2007-04-03,2007,04,03
2007-04-07-EinAlphaMännchenzuvielJü.txt,EinAlphaMännchenzuvielJü.txt,2007-04-07,2007,04,07
2007-04-24-KeinEndeinSicht.txt,KeinEndeinSicht.txt,2007-04-24,2007,04,24
2007-05-14-ErdingersetzenZeichenTause.txt,ErdingersetzenZeichenTause.txt,2007-05-14,2007,05,14
2007-05-14-RednermachenMenschenMutAg.txt,RednermachenMenschenMutAg.txt,2007-05-14,2007,05,14
2007-05-25-BlickindiePresse.txt,BlickindiePresse.txt,2007-05-25,2007,05,25
2007-06-05-AmBodenVONREINHARDMÜLLER.txt,AmBodenVONREINHARDMÜLLER.txt,2007-06-05,2007,06,05
2007-08-14-HalbwertzeitenimSeegrasTh.txt,HalbwertzeitenimSeegrasTh.txt,2007-08-14,2007,08,14
2007-11-10-WernerMüllerPolitmanageroh.txt,WernerMüllerPolitmanageroh.txt,2007-11-10,2007,11,10
2007-12-07-Einbisschenschwangergibte.txt,Einbisschenschwangergibte.txt,2007-12-07,2007,12,07
2008-03-28-EndeschlechtallesgutWaru.txt,EndeschlechtallesgutWaru.txt,2008-03-28,2008,03,28
2008-04-11-GeldkannAidsbekommenGer.txt,GeldkannAidsbekommenGer.txt,2008-04-11,2008,04,11
2008-04-18-InterviewVorbereitetaufFra.txt,InterviewVorbereitetaufFra.txt,2008-04-18,2008,04,18
2008-04-25-BarometerdesWiderstandsGrü.txt,BarometerdesWiderstandsGrü.txt,2008-04-25,2008,04,25
2008-04-25-DieGrünenblüheninderStarn.txt,DieGrünenblüheninderStarn.txt,2008-04-25,2008,04,25
2008-05-05-IhrkönntEuchdieTonartaus.txt,IhrkönntEuchdieTonartaus.txt,2008-05-05,2008,05,05
2008-05-21-AktuellesLexikonWasserwerfe.txt,AktuellesLexikonWasserwerfe.txt,2008-05-21,2008,05,21
2008-06-23-AlledreiMinutenrollteinZu.txt,AlledreiMinutenrollteinZu.txt,2008-06-23,2008,06,23
2008-07-17-Landtagsdebatteüberdasneue.txt,Landtagsdebatteüberdasneue.txt,2008-07-17,2008,07,17
2008-07-28-WennesumIdeologiegehtspi.txt,WennesumIdeologiegehtspi.txt,2008-07-28,2008,07,28
2008-08-06-VomAgrarlandzumHightechSta.txt,VomAgrarlandzumHightechSta.txt,2008-08-06,2008,08,06
